,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
539,K,19,0,8,1,1.0,1
540,9,20,0,6,0,-1.0,1
541,5,19,0,18,0,-1.0,1
542,6,23,1,14,0,1.0,0
543,7,24,1,10,1,1.0,1
544,K,23,1,13,0,1.0,0
545,K,17,0,14,0,-1.0,1
546,8,25,1,14,0,1.0,0
547,5,23,1,17,0,1.0,0
548,J,20,0,14,0,-1.0,1
549,K,23,1,11,1,1.0,1
550,7,22,1,17,0,1.0,0
551,Q,20,0,13,0,-1.0,1
552,6,25,1,20,0,1.0,0
553,4,24,1,17,0,1.0,0
554,K,17,0,16,0,-1.0,1
555,5,24,1,20,0,1.0,0
556,K,20,0,17,0,-1.0,1
557,4,25,1,19,0,1.0,0
558,Q,20,0,12,0,-1.0,1
559,7,18,0,16,0,-1.0,1
560,6,18,0,11,0,-1.0,1
561,8,25,1,20,0,1.0,0
562,K,20,0,20,0,0.0,0
563,10,20,0,12,0,-1.0,1
564,4,22,1,20,0,1.0,0
565,5,22,1,16,0,1.0,0
566,9,17,0,13,0,-1.0,1
567,9,25,1,17,0,1.0,0
568,10,18,0,12,0,-1.0,1
569,J,17,0,12,0,-1.0,1
570,4,26,1,20,0,1.0,0
571,9,24,1,13,0,1.0,0
572,Q,17,0,14,0,-1.0,1
573,9,24,1,7,1,1.0,1
574,3,19,0,17,0,-1.0,1
575,8,18,0,14,0,-1.0,1
576,6,25,1,18,0,1.0,0
577,4,19,0,11,1,1.0,1
578,A,21,0,13,0,-1.0,1
579,6,18,0,12,0,-1.0,1
580,Q,20,0,12,0,-1.0,1
581,8,18,0,18,0,0.0,0
582,5,20,0,18,0,-1.0,1
583,J,19,0,16,0,-1.0,1
584,Q,24,1,5,1,1.0,1
585,2,20,0,13,0,-1.0,1
586,J,21,0,5,0,-1.0,1
587,Q,17,0,8,0,-1.0,1
588,A,23,1,18,0,1.0,0
589,8,19,0,19,0,0.0,0
590,4,24,1,12,0,1.0,0
591,6,18,0,6,0,-1.0,1
592,K,20,0,11,0,-1.0,1
593,7,19,0,12,0,-1.0,1
594,K,18,0,9,1,1.0,1
595,A,20,0,15,0,-1.0,1
596,10,19,0,17,0,-1.0,1
597,2,19,0,16,0,-1.0,1
598,6,26,1,12,0,1.0,0
599,6,19,0,12,0,-1.0,1
600,J,26,1,15,0,1.0,0
601,6,25,1,19,0,1.0,0
602,7,20,0,19,0,-1.0,1
603,9,21,0,13,0,-1.0,1
604,J,17,0,4,1,-1.0,0
605,10,19,0,5,1,1.0,1
606,10,20,0,6,1,-1.0,0
607,A,18,0,14,0,-1.0,1
608,6,21,0,12,0,-1.0,1
609,3,24,1,18,0,1.0,0
610,5,25,1,13,0,1.0,0
611,7,20,0,20,0,0.0,0
612,8,24,1,18,0,1.0,0
613,8,22,1,7,0,1.0,0
614,8,18,0,20,0,1.0,0
615,J,20,0,14,0,-1.0,1
616,2,23,1,14,0,1.0,0
617,9,18,0,20,0,1.0,0
618,4,22,1,18,0,1.0,0
619,10,22,1,17,0,1.0,0
620,10,24,1,20,0,1.0,0
621,Q,21,0,16,0,-1.0,1
622,2,21,0,11,0,-1.0,1
623,4,18,0,16,0,-1.0,1
624,10,17,0,15,0,-1.0,1
625,10,26,1,13,0,1.0,0
626,A,19,0,12,0,-1.0,1
627,5,24,1,7,0,1.0,0
628,4,18,0,18,0,0.0,0
629,Q,17,0,10,1,-1.0,0
630,6,22,1,19,0,1.0,0
631,8,21,0,9,1,-1.0,0
632,Q,17,0,11,1,1.0,1
633,5,20,0,5,1,-1.0,0
634,2,21,0,13,0,-1.0,1
635,7,17,0,13,0,-1.0,1
636,7,17,0,7,1,-1.0,0
637,K,18,0,10,1,1.0,1
638,Q,20,0,17,0,-1.0,1
639,7,17,0,15,0,-1.0,1
640,A,21,0,20,0,-1.0,1
641,Q,21,0,13,0,-1.0,1
642,2,23,1,11,1,1.0,1
643,10,24,1,10,1,1.0,1
644,7,25,1,14,0,1.0,0
645,K,22,1,14,0,1.0,0
646,10,25,1,19,0,1.0,0
647,5,20,0,13,0,-1.0,1
648,8,19,0,21,0,1.0,0
649,A,20,0,5,0,-1.0,1
650,7,19,0,13,0,-1.0,1
651,5,22,1,14,0,1.0,0
652,10,20,0,18,0,-1.0,1
653,10,22,1,19,0,1.0,0
654,K,20,0,13,0,-1.0,1
655,K,20,0,15,0,-1.0,1
656,10,20,0,16,0,-1.0,1
657,A,20,0,10,0,-1.0,1
658,10,18,0,9,1,1.0,1
659,J,22,1,6,0,1.0,0
660,5,19,0,7,1,-1.0,0
661,4,17,0,18,0,1.0,0
662,Q,20,0,16,0,-1.0,1
663,5,19,0,18,0,-1.0,1
664,3,23,1,13,0,1.0,0
665,3,23,1,18,0,1.0,0
666,Q,22,1,18,0,1.0,0
667,3,19,0,14,0,-1.0,1
668,3,21,0,17,0,-1.0,1
669,10,20,0,12,0,-1.0,1
670,9,21,0,16,0,-1.0,1
671,J,19,0,20,0,1.0,0
672,3,19,0,9,1,-1.0,0
673,J,19,0,13,0,-1.0,1
674,4,18,0,19,0,1.0,0
675,9,21,0,12,0,-1.0,1
676,8,18,0,9,1,1.0,1
677,10,20,0,8,1,-1.0,0
678,A,17,0,9,1,1.0,1
679,4,20,0,16,0,-1.0,1
680,9,24,1,15,0,1.0,0
681,2,20,0,20,0,0.0,0
682,6,17,0,16,0,-1.0,1
683,A,18,0,12,0,-1.0,1
684,Q,20,0,14,0,-1.0,1
685,J,19,0,20,0,1.0,0
686,K,17,0,20,0,1.0,0
687,2,17,0,14,0,-1.0,1
688,Q,19,0,15,0,-1.0,1
689,Q,19,0,20,0,1.0,0
690,J,20,0,10,1,-1.0,0
691,A,17,0,18,0,1.0,0
692,A,20,0,16,0,-1.0,1
693,9,18,0,15,0,-1.0,1
694,4,21,0,11,0,-1.0,1
695,7,24,1,12,0,1.0,0
696,4,19,0,14,0,-1.0,1
697,2,17,0,15,0,-1.0,1
698,10,21,0,15,0,-1.0,1
699,J,21,0,18,0,-1.0,1
700,J,21,0,17,0,-1.0,1
701,10,21,0,17,0,-1.0,1
702,10,26,1,17,0,1.0,0
703,Q,19,0,12,0,-1.0,1
704,6,23,1,12,0,1.0,0
705,J,20,0,13,0,-1.0,1
706,4,20,0,14,0,-1.0,1
707,Q,19,0,19,0,0.0,0
708,5,18,0,12,0,-1.0,1
709,10,19,0,16,0,-1.0,1
710,Q,17,0,16,0,-1.0,1
711,2,18,0,18,0,0.0,0
712,4,18,0,5,1,-1.0,0
713,K,25,1,14,0,1.0,0
714,A,21,0,20,0,-1.0,1
715,2,23,1,13,0,1.0,0
716,2,20,0,17,0,-1.0,1
717,2,25,1,13,0,1.0,0
718,A,20,0,7,1,-1.0,0
719,Q,21,0,17,0,-1.0,1
720,3,25,1,19,0,1.0,0
721,6,26,1,15,0,1.0,0
722,K,25,1,11,0,1.0,0
723,10,18,0,19,0,1.0,0
724,A,24,1,9,1,1.0,1
725,J,17,0,6,1,-1.0,0
726,6,20,0,12,0,-1.0,1
727,A,17,0,21,0,1.0,0
728,6,17,0,17,0,0.0,0
729,9,19,0,14,0,-1.0,1
730,2,21,0,20,0,-1.0,1
731,10,21,0,15,0,-1.0,1
732,2,20,0,16,0,-1.0,1
733,5,20,0,12,0,-1.0,1
734,J,21,0,17,0,-1.0,1
735,10,20,0,12,0,-1.0,1
736,J,20,0,19,0,-1.0,1
